prediction,variety,points,price
0,Cave de Viré 2015 Grande Réserve du Président  (Mâcon-Villages),85,15.0
0,Cortes de Cima 2015 Rosé (Alentejano),85,22.0
0,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),85,9.0
0,Herdade Grande 2015 Audaz Branco White (Alentejano),85,10.0
0,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),85,22.0
0,Domaine Poulleau Père et Fils 2014  Chorey-lès-Beaune,85,40.0
0,Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal),85,12.0
0,Patriarche Père et Fils 2014  Coteaux Bourguignons,85,10.0
0,Paul Reitz 2014  Saint-Véran,85,20.0
0,Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo),85,12.0
0,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne),92,62.0
0,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay (Champagne),92,66.0
0,Monte da Penha 2005 Grande Reserva Red (Alentejo),92,32.0
0,Pierre Gimonnet et Fils 2005 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne),92,72.0
0,Bruno Paillard 2002 Assemblage Brut  (Champagne),92,101.0
0,Quinta do Sagrado 2008 VT '08 Red (Douro),90,32.0
0,Sobredos 2012 Aneto Tinto Red (Douro),90,12.0
0,Bernard Magrez 2012 La Sérénité des Grands Chênes  (Médoc),90,30.0
0,Château Corbin 2014 Divin de Corbin  (Saint-Émilion),90,35.0
0,Château Haut-Logat 2014  Haut-Médoc,90,45.0
0,Château La Branne 2014  Médoc,90,20.0
0,Château Mayne Vieil 2014  Fronsac,90,17.0
0,Château Mille-Roses 2012  Margaux,90,45.0
0,Domaine Franck Besson 2014 Le Griottier  (Juliénas),90,22.0
0,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),86,15.0
0,Mont Gravet 2013 Colombard (Côtes de Gascogne),86,9.0
0,Clos Troteligotte 2013 K-libre Chenin Blanc (Côtes du Lot),86,30.0
0,Domaine de Thulon 2013  Beaujolais-Villages,86,15.0
0,Domaine du Haut-Poncié 2013 Roche Grès  (Moulin-à-Vent),86,23.0
0,Domaine du Vissoux 2013 Coeur de Vendanges  (Beaujolais),86,""
0,Georges Duboeuf 2013 Flower Label  (Beaujolais),86,12.0
0,Laurent Gauthier 2013 Rosé (Beaujolais Rosé),86,""
0,Manoir du Carra 2013  Beaujolais-Villages,86,16.0
0,Domaine Collotte 2014 Clos de Jeu  (Marsannay),90,""
0,Domaine Faiveley 2014  Gevrey-Chambertin,90,70.0
0,Domaine Jacques Prieur 2014 Grèves Premier Cru  (Beaune),90,117.0
0,Domaine René Bouvier 2014 Champ Salomon  (Marsannay),90,""
0,Quinta do Vallado 2009 Sousão (Douro),90,40.0
0,Roquette e Cazes 2007 Red (Douro),90,""
0,Château Bel-Air Ortet 2009  Saint-Estèphe,90,35.0
0,Château Ferrière 2009  Margaux,90,45.0
0,Maritávora 2009 Reserva Branco White (Douro),90,60.0
0,Quinta do Vallado 2010 Reserva Branco White (Douro),90,50.0
0,Casa de Vilacetinho 2013 Bruto Avesso (Vinho Verde),87,30.0
0,Falua 2015 Conde Vimioso Colheita Seleccionada Branco White (Tejo),87,9.0
0,Fiuza 2015 Red (Tejo),87,14.0
0,Aveleda NV Casal Garcia Rosé Sparkling (Vinho Verde),87,12.0
0,Château les Petits Arnauds 2014 Tradition  (Blaye Côtes de Bordeaux),87,14.0
0,Château Mougneaux 2014  Bordeaux Supérieur,87,16.0
0,Château Saintongey 2014 Vieilles Vignes  (Bordeaux),87,15.0
0,Château Ségonzac 2014 Vieilles Vignes  (Blaye Côtes de Bordeaux),87,14.0
0,Duménil NV Grande Réserve Premier Cru Brut  (Champagne),87,38.0
0,Real Companhia Velha 2014 Evel Tinto Red (Douro),87,13.0
0,Santos & Seixo 2014 Santos da Casa Tinto Red (Alentejano),87,15.0
0,Yorkville Cellars 2013 Rennie Vineyard Organic Grapes Petit Verdot (Yorkville Highlands),87,32.0
0,Amalie Robert 2012 i Pinot Noir (Willamette Valley),87,38.0
0,Jacquart NV Brut Mosaïque  (Champagne),87,40.0
0,Château de Bel 2014  Bordeaux Supérieur,87,20.0
0,Château Pavillon de Boyrein 2006  Graves,85,11.0
0,Quinta de la Rosa 2004 Late Bottled Vintage  (Port),88,""
0,Fournier Père et Fils 2006 Les Belles Vignes  (Sancerre),88,22.0
0,Château Puy-Servain 2003 Vieilles Vignes  (Montravel),88,26.0
0,Château Puy-Servain 2007 Marjolaine  (Montravel),88,25.0
0,Fournier Père et Fils 2006 Les Caillottes  (Pouilly-Fumé),88,21.0
0,Ruhlmann 2013 Vieilles Vignes Gewurztraminer (Alsace),88,20.0
0,Domaine Barmès-Buecher 2012 Pfleck Pinot Gris (Alsace),88,28.0
0,Vieil Armand 2010 Clos de la Tourelle Château Ollwiller Pinot Blanc (Alsace),88,10.0
0,Kedar's K'orus NV Cabernet Sauvignon (Vin de Pays d'Oc),85,12.0
0,Winzer Krems 2005 Sandgrube 13 Chremisa Zweigelt (Kremstal),85,24.0
0,Sandeman 2015 Quinta do Seixo Vintage  (Port),94,50.0
0,Poças 2014 Símbolo Red (Douro),94,150.0
0,Quinta do Vesuvio 2015 Vintage  (Port),94,78.0
0,Alphonse Mellot 2014 En Grands Champs  (Sancerre),94,112.0
0,Château de Parnay 2014 La Coulée du Méridien  (Saumur-Champigny),94,120.0
0,Churchill's 2015 Quinta da Gricha Vintage  (Port),94,60.0
0,Domaine Bernard Fleuriet et Fils 2015 Anthocyane  (Sancerre),94,60.0
0,Domaine de Gensac 2011 Quadrille White (Gers),90,32.0
0,Domaine Rolet Père et Fils 2008 Brut Sparkling (Crémant de Jura),90,24.0
0,Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur),90,""
0,Château du Retout 2013  Haut-Médoc,84,20.0
0,Château Méric 2013  Médoc,84,""
0,Château les Joyeuses 2014  Bordeaux,84,14.0
0,Les Vignerons Réunis de Monségur 2014 La Tour du Gouverneur  (Bordeaux),83,12.0
0,Winkler-Hermaden 2007 Steierische Klassik Weissburgunder (Südoststeiermark),87,15.0
0,Felsner 2007 Rohrendorfer Leithen Alte Reben Grüner Veltliner (Kremstal),87,23.0
0,Gunter Triebaumer 2006 Blaufränkisch (Burgenland),87,16.0
0,Wines & Winemakers 2015 Lua Cheia em Vinhas Velhas Rosé (Douro),88,14.0
0,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),88,10.0
0,Casa Agricola Santos Jorge 2012 Herdade dos Machados Reserva Red (Alentejo),88,19.0
0,Cave des Vignerons de Buxy 2014  Mâcon-Villages,88,14.0
0,Château de Fuissé 2014  Saint-Véran,88,28.0
0,Château de Santenay 2014  Chassagne-Montrachet,88,70.0
0,Christophe Cordier 2014 Vers Cras  (Pouilly-Fuissé),88,40.0
0,Famille Laplace 2015 Aramis Rouge Tannat-Syrah Tannat-Syrah (Vin de France),88,10.0
0,Bouchard Père & Fils 2014  Pouilly-Fuissé,87,32.0
0,Casca Wines 2015 Cascas Winemaker Selection Red (Lisboa),87,10.0
0,Quinta da Foz 2016 Reserva Red (Douro),93,55.0
0,Bacalhôa Wines of Portugal 2014 Quinta dos Quatros Ventos Red (Douro),93,28.0
0,Château Tour Grand Faurie 2009  Saint-Émilion,93,40.0
0,Secret Spot Wines 2014 Crooked Vines Colheita Red (Douro),93,32.0
0,Château la Grande Barthe 2003  Montagne-Saint-Émilion,88,40.0
0,Erba 2005 Mountainside Vineyards Proprietary Red Wine Red (Napa Valley),88,50.0
0,Barkan 2010 Classic Merlot-Argaman (Dan),85,12.0
0,Aveleda 2010 Praia White (Vinho Verde),84,""
0,Domaines Landron 2013 La Louvetrie Sur Lie  (Muscadet Sèvre et Maine),89,14.0
0,Domaine de l'Ermitage 2013  Menetou-Salon,89,20.0
0,Domaine de Rome 2013  Sancerre,89,21.0
0,Quintas de Melgaço 2014 Torre de Menagem Escolha White (Vinho Verde),89,13.0
0,Château Coutinel 2015 Red (Fronton),90,28.0
0,Château Grand Boise 2015 Red (Côtes de Provence Sainte-Victoire),90,22.0
0,Château le Payral 2015 Red (Bergerac),90,13.0
0,Clos Fardet 2013 Tannat (Madiran),90,""
0,Domaine Clos Gautier 2016 Oser Rosé (Côtes de Provence),90,21.0
0,Domaine Harmonie des Arpents 2016 Rosé (Coteaux Varois en Provence),90,23.0
0,Domaine Sainte-Marie 2016 Paparazzi Rosé (Côtes de Provence),90,30.0
0,Château Bois Noir 2009  Bordeaux Supérieur,86,""
0,Horeau-Beylot 2009 Château Grand Martinet  (Saint-Émilion),86,75.0
0,Quinta de Ventozelo 2007 Cister da Ribeira White (Douro),86,11.0
0,Bulas 2011 Late Bottled Vintage  (Port),88,21.0
0,Casa da Passarella 2012 Somontes Colheita Red (Dão),88,11.0
0,Quinta do Vallado 2013 Sousão (Douro),88,40.0
0,Quinta dos Murças NV 10 Anos Old Tawny  (Port),88,30.0
0,Domaine de l'Hermitage 2010 Red (Bandol),93,""
0,Domaine Weinbach 2011 Cuvée Théo Gewurztraminer (Alsace),93,31.0
0,Domaines Schlumberger 2007 Spiegel Grand Cru Pinot Gris (Alsace),93,30.0
0,Rieflé 2010 Steinert Grand Cru Pinot Gris (Alsace),92,28.0
0,Rieflé 2010 Zinnkoepflé Grand Cru Vendanges Tardives Pinot Gris (Alsace),92,45.0
0,Château Paradis 2010 Terre des Anges Red (Coteaux d'Aix-en-Provence),92,25.0
0,Château Salettes 2011 Red (Bandol),92,40.0
0,Domaine de Val d'Arenc 2011 Red (Bandol),92,""
0,Alain Brumont 2011 Château Bouscassé Red (Madiran),94,25.0
0,Alex Gambal 2014 La Maltroie Premier Cru  (Chassagne-Montrachet),94,80.0
0,David Duband 2014 Les Sentiers Premier Cru  (Chambolle-Musigny),94,135.0
0,Louis Jadot 2014 Clos des Ursules Premier Cru  (Beaune),94,90.0
0,Georges Vigouroux 2014 Château de Haute-Serre Cuvée Géron Dadine de Haute-Serre Malbec (Cahors),94,49.0
0,Louis Jadot 2014 Les Boudots Premier Cru  (Nuits-St.-Georges),93,132.0
0,Mouchão 2012 Ponte das Canas Red (Alentejo),93,20.0
0,Bründlmayer 2011 Steinmassel Erste Lage Riesling (Kamptal),92,""
0,Château des Jacques 2011 Clos de Rochegrès  (Moulin-à-Vent),92,""
0,Pascal Aufranc 2011 Vignes de 1939  (Chénas),92,35.0
0,Château Blaignan 2010  Médoc,92,16.0
0,Château d'Aydie 2009 Tannat (Madiran),92,35.0
0,Château de Gaudou 2010 Renaissance Malbec (Cahors),92,26.0
0,Domaine Bru-Baché 2008 La Quintessence  (Jurançon),92,50.0
0,Herdade do Esporão 2016 Defesa Branco White (Alentejano),86,14.0
0,J. Portugal Ramos 2016 Pouca Roupa Rosé (Alentejano),86,13.0
0,Château de Chaintres 2013 Clos des Oratoriens  (Saumur),85,34.0
0,Château de la Vieille Tour 2016  Bordeaux Blanc,85,20.0
0,Château la France 2016  Bordeaux Blanc,85,12.0
0,Château Lalande Méric 2016 Rosé (Bordeaux Rosé),85,""
0,Château Lauduc 2016 Rosé (Bordeaux Rosé),85,15.0
0,DFJ Vinhos 2016 Bigode Rosé (Lisboa),85,9.0
0,DFJ Vinhos 2016 Casa do Lago Branco White (Lisboa),85,10.0
0,Sanguinhal 2016 Cerejeiras Tinto Red (Lisboa),85,7.0
0,Wines & Winemakers 2016 Casa Ermelinda Freitas Monte da Baía Branco White (Península de Setúbal),85,12.0
0,Adega Cooperativa de Borba 2016 Cuvée B Red (Alentejo),85,8.0
0,Quinta das Arcas 2016 Arca Nova Branco White (Vinho Verde),85,9.0
0,Château Palmer 2009  Margaux,98,380.0
0,Château Troplong Mondot 2009  Saint-Émilion,97,170.0
0,Château La Mission Haut-Brion 2009  Pessac-Léognan,97,1100.0
0,Château Figeac 2009  Saint-Émilion,96,280.0
0,Château Léoville Poyferré 2009  Saint-Julien,96,200.0
0,Château Haut-Brion 2009  Pessac-Léognan,96,1200.0
0,Château la Fleur-Pétrus 2009  Pomerol,96,""
0,Château Lynch-Bages 2009  Pauillac,96,195.0
0,Château Trotanoy 2009  Pomerol,96,400.0
0,Château Beau-Séjour Bécot 2009  Saint-Émilion,96,75.0
0,Château Branaire-Ducru 2009  Saint-Julien,95,89.0
0,Château Canon 2009  Saint-Émilion,95,163.0
0,Billsboro 2013 Sawmill Creek Vineyards Syrah (Finger Lakes),88,34.0
0,Château des Annereaux 2011  Lalande de Pomerol,88,20.0
0,Château Haut-Bergey 2013  Pessac-Léognan,88,""
0,Château Larrivet Haut-Brion 2014 Les Hauts de Larrivet Haut-Brion  (Pessac-Léognan),88,30.0
0,Château le Sartre 2013  Pessac-Léognan,88,""
0,Château Mancèdre 2013  Pessac-Léognan,88,45.0
0,Château Peyredon Lagravette 2013  Haut-Médoc,88,22.0
0,Château Potensac 2013 Chapelle de Potensac  (Médoc),88,""
0,Clos Beauregard 2013  Pomerol,88,58.0
0,Château Amour 2013  Médoc,87,19.0
0,Château de Cruzeau 2013  Pessac-Léognan,87,""
0,Château de Paillet-Quancard 2012  Cadillac Côtes de Bordeaux,87,15.0
0,Château de Rochemorin 2013  Pessac-Léognan,87,26.0
0,Gabriel Meffre 2015 La Châsse Sauvignon-Colombard White (Vin de France),85,10.0
0,Gabriel Meffre 2016 La Châsse Chardonnay (Vin de France),85,10.0
0,Adega Cooperativa de Borba 2016 Adega de Borba Branco White (Alentejo),85,8.0
0,Adega Cooperativa de Borba 2016 Brado Branco White (Alentejano),85,6.0
0,Paul Buisse 2016 Sauvignon Blanc (Touraine),85,13.0
0,Saget la Perrière 2016 La Petite Perrière Pinot Noir (Vin de France),85,12.0
0,Jean-Max Roger 2015 Le Charnay  (Menetou-Salon),85,22.0
0,Magnum Vinhos 2015 Flor de Maio Mayflower Red (Alentejano),85,7.0
0,Adega Cooperativa de Borba 2016 Brado Red (Alentejano),85,8.0
0,Vinadeis 2016 Le Val Merlot (Vin de France),85,12.0
0,Wines & Winemakers 2014 Dona Helena Reserva Red (Península de Setúbal),85,15.0
0,Domaine de Reuilly 2015 Pinot Noir (Reuilly),85,20.0
0,Enoport 2014 Topázio Reserva Red (Douro),85,10.0
0,Fiuza 2015 Tinta Miúda Red (Tejo),85,12.0
0,Adega Mãe 2015 Pinta Negra Rosé (Lisboa),85,9.0
0,Parras Wines 2015 Mula Velha Reserva Red (Lisboa),85,10.0
0,Parras Wines 2015 Terra Grande Red (Alentejano),85,10.0
0,Quinta dos Avidagos 2015 Lote 138 Red (Douro),85,11.0
0,Château Lanscade 2015  Bordeaux,85,13.0
0,Château Troupian 2014  Haut-Médoc,85,20.0
0,Château Vrai Caillou 2015  Entre-Deux-Mers,85,13.0
0,J. Portugal Ramos 2015 Pouca Roupa Branco White (Alentejano),85,13.0
0,Château Doms 2014  Graves,85,20.0
0,Château Pindefleurs 2013  Saint-Émilion,85,28.0
0,Dürnberg 2007 Impetus Select Red (Niederösterreich),90,20.0
0,Markus Huber 2010 Grüner Veltliner (Traisental),90,16.0
0,Caves Aliança 2006 Galeria Bical (Bairrada),86,15.0
0,Château de Malle 2011  Sauternes,92,""
0,Le Carré 2012  Saint-Émilion,92,135.0
0,Château Bouscaut 2012  Pessac-Léognan,92,""
0,Château Couhins 2012  Pessac-Léognan,92,""
0,Château d'Arche 2011  Sauternes,92,""
0,Château Gaudin 2011  Pauillac,92,49.0
0,Château Phélan-Ségur 2012  Saint-Estèphe,92,""
0,Château Saint-Urban 2013  Blaye Côtes de Bordeaux,84,20.0
0,Les Rocailles 2014 Pinot Noir (Vin de Savoie),84,19.0
0,Producta Vignobles 2013 Mission St. Vincent  (Bordeaux),84,12.0
0,Cap Royal 2014  Bordeaux Blanc,84,12.0
0,Château Barreyre 2013  Bordeaux Supérieur,84,25.0
0,Château Laronde Désormes 2013  Bordeaux Supérieur,84,25.0
0,Château Roquevieille 2013  Castillon Côtes de Bordeaux,84,""
0,Domaine de la Sanglière 2014 Juliette Rosé (Mediterranée),84,13.0
0,Château de Belcier 2013  Castillon Côtes de Bordeaux,84,""
0,Château des Tourtes 2012  Blaye Côtes de Bordeaux,84,17.0
0,Château Donjon de Bruignac 2013 Premium  (Bordeaux Supérieur),84,23.0
0,Château Godard 2013  Francs Côtes de Bordeaux,84,""
0,Château Haut Bertinerie 2010  Blaye Côtes de Bordeaux,91,35.0
0,Château Lalande-Borie 2011  Saint-Julien,91,""
0,Château Preuillac 2011  Médoc,91,26.0
0,Bucher 2012 Pinot Noir (Russian River Valley),91,40.0
0,Château Cos d'Estournel 2011 Les Pagodes de Cos  (Saint-Estèphe),91,""
0,Quinta do Casal Branco 2014 Terra de Lobos Tinto Red (Tejo),85,10.0
0,Real Companhia Velha 2014 Gewurztraminer (Duriense),85,20.0
0,Jean-Marc Burgaud 2014  Beaujolais-Villages,85,19.0
0,Jean-Marc Burgaud 2014 Les Vignes de Thulon  (Beaujolais-Villages),85,""
0,Lanson NV White Label Sec  (Champagne),85,50.0
0,Quinta da Lapa 2014 Selection Branco White (Tejo),85,11.0
0,Real Companhia Velha 2014 Quinta de Cidrô Sauvignon Blanc (Duriense),85,20.0
0,Domaine André Colonge 2014  Beaujolais,85,""
0,Domaine du Vissoux 2014 Les Griottes Rosé (Beaujolais Rosé),85,""
0,Domaine Pral 2014 Les Pays de Pierres Dorées  (Beaujolais),85,15.0
0,Georges Duboeuf 2014  Chiroubles,85,20.0
0,Georges Duboeuf 2014 Domaine du Paradis  (Saint-Amour),85,22.0
0,Loron et Fils 2014 Beau!  (Beaujolais),84,12.0
0,Kuehn 2013 Pinot Gris (Alsace),84,23.0
0,Mario Bazán 2009 Cabernet Sauvignon (Napa Valley),84,60.0
0,Château Beausejour-Duffau-Lagarrosse 2009  Saint-Émilion,94,180.0
0,Castro Pena Alba 2007 Picos de Couto Grande Escolha Red (Dão),93,""
0,Château de Pez 2009  Saint-Estèphe,93,45.0
0,Château Gruaud Larose 2009  Saint-Julien,93,90.0
0,Château du Tertre 2009  Margaux,93,47.0
0,Château La Conseillante 2009  Pomerol,93,270.0
0,Quinta de Foz de Arouce 2007 Vinhas Velhas de Santa Maria Baga (Beiras),93,70.0
0,La Chablisienne 2005 Les Vénérables  (Chablis),89,23.0
0,La Chablisienne 2005 Côte de Léchet Premier Cru  (Chablis),89,28.0
0,Steininger 2010 Sekt Pinot Noir (Österreichischer Sekt),87,32.0
0,Château Belrose 2011  Bordeaux,87,12.0
0,Château les Mottes Pradier 2011  Côtes de Bourg,87,13.0
0,Domäne Wachau 2012 Terrassen Gelber Muskateller (Wachau),87,17.0
0,Pezat 2011  Bordeaux Supérieur,87,17.0
0,Château Grand Billard 2011  Bordeaux,87,18.0
0,Château Macquin 2011  Saint-Georges-Saint-Émilion,87,20.0
0,Domäne Wachau 2012 Terrassen Federspiel Grüner Veltliner (Wachau),87,14.0
0,Clos Troteligotte 2011 K-nom Malbec-Merlot (Cahors),87,13.0
0,Robert Perroud 2011 L'Enfer des Balloquets  (Brouilly),88,17.0
0,Château de Panigon 2010  Médoc,88,35.0
0,Château de Raousset 2011  Chiroubles,88,20.0
0,Château Tour des Gendres 2011 Cuvée des Contis White (Bergerac Sec),88,18.0
0,Signé Vigneron 2011 Domaine de l'Oseraie  (Morgon),88,14.0
0,Wunsch & Mann 2012 Roi Clovis Riesling (Alsace),85,25.0
0,Cave de Beblenheim 2013 Réserve Particulière Pinot Gris (Alsace),84,15.0
0,Cave de Kientzheim-Kaysersberg 2013 Anne de K Gewurztraminer (Alsace),84,19.0
0,Vieil Armand 2013 Tradition Pinot Blanc (Alsace),84,8.0
0,Pierre Sparr 2013 Gewurztraminer (Alsace),84,19.0
0,Arthur Metz 2013 Gewurztraminer (Alsace),84,15.0
0,Cave de Cleebourg 2013 Prestige Pinot Gris (Alsace),84,16.0
0,Jean-Marc Bernhard 2013 Cuvée Particulière Pinot Gris (Alsace),84,17.0
0,Fiuza 2013 3 Castas White (Tejo),87,""
0,Louis Jadot 2012  Mâcon-Villages,87,15.0
0,Quinta de Porrais 2010 Porrais Red (Douro),87,13.0
0,Quinta do Casal Branco 2012 Red (Tejo),87,""
0,Drappier 1995 Carte d'Or Brut 1.5 liters  (Champagne),92,""
0,Drappier 2002 Millésime Exception Brut  (Champagne),92,70.0
0,Zull 2006 Beerenauslese 375ml Riesling (Niederösterreich),92,40.0
0,Zull 2008 Eiswein 375ml Riesling (Niederösterreich),92,40.0
0,Norbert Bauer 2008 Eiswein 375ml Grüner Veltliner (Niederösterreich),92,35.0
0,De Sousa & Fils NV Réserve Blanc de Blancs Brut Chardonnay (Champagne),91,60.0
0,Château Pavillon Bel-Air 2006  Lalande de Pomerol,90,37.0
0,Deutz 2005 Rosé Brut  (Champagne),90,85.0
0,Soutiran NV Brut Grand Cru  (Champagne),90,60.0
0,Cortes de Cima 2005 Aragonez Aragonês (Alentejano),87,""
0,Château Beauvillage 2009  Médoc,88,30.0
0,Château Cap Léon Veyrin 2009  Listrac-Médoc,88,30.0
0,Château au Pont de Guitres 2009  Lalande de Pomerol,88,""
0,Château Bellegrave du Poujeau 2006  Haut-Médoc,88,53.0
